T20I #,World Cup Match?,Winner,Date,Batting First,Team 1 Runs,Team 1 Wickets,Team 1 Overs,Team 1 Adjusted Run Rate,Batting Second,Team 2 Runs,Team 2 Wickets,Team 2 Overs,Team 2 Adjusted Run Rate,Ground,City,Country
247,False,West Indies,6/30/2012,West Indies,209,2,20.0,10.45,New Zealand,153,8,18.3,8.27027027,Central Broward Regional Park Stadium Turf Ground,Lauderhill,USA
248,False,West Indies,7/1/2012,West Indies,177,5,20.0,8.85,New Zealand,116,10,18.4,6.214285714,Central Broward Regional Park Stadium Turf Ground,Lauderhill,USA
249,False,Bangladesh,7/18/2012,Bangladesh,190,5,20.0,9.5,Ireland,119,8,20.0,5.95,Civil Service Cricket Club,Belfast,Northern Ireland
250,False,Bangladesh,7/20/2012,Bangladesh,146,6,20.0,7.3,Ireland,145,6,20.0,7.25,Civil Service Cricket Club,Belfast,Northern Ireland
251,False,Bangladesh,7/21/2012,Ireland,140,8,20.0,7.0,Bangladesh,141,8,20.0,7.05,Civil Service Cricket Club,Belfast,Northern Ireland
252,False,Scotland,7/24/2012,Scotland,162,7,20.0,8.1,Bangladesh,128,10,18.0,7.111111111,Sportpark Westvliet,The Hague,Netherlands
253,False,Bangladesh,7/25/2012,Netherlands,144,7,20.0,7.2,Bangladesh,145,2,18.0,8.055555556,Sportpark Westvliet,The Hague,Netherlands
254,False,Netherlands,7/26/2012,Bangladesh,128,10,20.0,6.4,Netherlands,131,9,20.0,6.55,Sportpark Westvliet,The Hague,Netherlands
255,False,India,8/7/2012,India,155,3,20.0,7.75,Sri Lanka,116,10,18.0,6.444444444,Pallekele International Cricket Stadium,Kandy,Sri Lanka
256,False,Pakistan,9/5/2012,Australia,89,10,19.3,4.45,Pakistan,90,3,14.5,4.5,Dubai International Cricket Stadium,Dubai,UAE
257,False,Tie,9/7/2012,Pakistan,151,4,20.0,7.55,Australia,151,8,20.0,7.55,Dubai International Cricket Stadium,Dubai,UAE
258,False,South Africa,9/8/2012,England,118,7,20.0,5.9,South Africa,119,3,19.0,6.263157895,Riverside Ground,Chester-le-Street,England
259,False,Australia,9/10/2012,Australia,168,7,20.0,8.4,Pakistan,74,10,19.1,3.860869565,Dubai International Cricket Stadium,Dubai,UAE
260,False,No Result,9/10/2012,South Africa,77,5,9.0,8.555555556,England,29,2,4.1,6.96,Old Trafford,Manchester,England
261,False,New Zealand,9/11/2012,New Zealand,167,5,20.0,8.35,India,166,4,20.0,8.3,MA Chidambaram Stadium,Chennai,India
262,False,England,9/12/2012,England,118,5,11.0,10.72727273,South Africa,90,5,11.0,8.181818182,Edgbaston,Birmingham,England
263,True,Sri Lanka,9/18/2012,Sri Lanka,182,4,20.0,9.1,Zimbabwe,100,10,17.3,5.714285714,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka
264,True,Australia,9/19/2012,Ireland,123,7,20.0,6.15,Australia,125,3,15.1,8.241758242,R Premadasa Stadium,Colombo,Sri Lanka
265,True,India,9/19/2012,India,159,5,20.0,7.95,Afghanistan,136,10,19.3,6.974358974,R Premadasa Stadium,Colombo,Sri Lanka
266,True,South Africa,9/20/2012,Zimbabwe,93,8,20.0,4.65,South Africa,94,0,12.4,7.421052632,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka
267,True,New Zealand,9/21/2012,New Zealand,191,3,20.0,9.55,Bangladesh,132,8,20.0,6.6,Pallekele International Cricket Stadium,Kandy,Sri Lanka
268,True,England,9/21/2012,England,196,5,20.0,9.8,Afghanistan,80,10,17.2,4.615384615,R Premadasa Stadium,Colombo,Sri Lanka
269,True,South Africa,9/22/2012,South Africa,78,4,7.0,11.14285714,Sri Lanka,46,5,7.0,6.571428571,Mahinda Rajapaksa International Cricket Stadium,Hambantota,Sri Lanka
270,True,Australia,9/22/2012,West Indies,191,8,20.0,9.55,Australia,100,1,9.1,10.90909091,R Premadasa Stadium,Colombo,Sri Lanka
271,True,Pakistan,9/23/2012,Pakistan,177,6,20.0,8.85,New Zealand,164,9,20.0,8.2,Pallekele International Cricket Stadium,Kandy,Sri Lanka
272,True,India,9/23/2012,India,170,4,20.0,8.5,England,80,10,14.4,5.454545455,R Premadasa Stadium,Colombo,Sri Lanka
