T20I #,World Cup Match?,Winner,Date,Batting First,Team 1 Runs,Team 1 Wickets,Team 1 Overs,Team 1 Adjusted Run Rate,Batting Second,Team 2 Runs,Team 2 Wickets,Team 2 Overs,Team 2 Adjusted Run Rate,Ground,City,Country
443,False,Hong Kong,7/21/2015,Afghanistan,161,7,20.0,8.05,Hong Kong,162,5,20.0,8.1,The Village,Dublin,Ireland
444,False,Afghanistan,7/23/2015,Papua New Guinea,127,6,20.0,6.35,Afghanistan,128,4,18.2,6.981818182,The Village,Dublin,Ireland
445,False,Scotland,7/25/2015,Hong Kong,116,10,19.4,5.8,Scotland,117,5,12.2,5.85,The Village,Dublin,Ireland
446,False,Afghanistan,7/25/2015,Oman,127,9,20.0,6.35,Afghanistan,130,5,18.5,6.902654867,Clontarf Cricket Club Ground,Dublin,Ireland
447,False,Netherlands,7/25/2015,Ireland,128,10,19.5,6.4,Netherlands,129,5,18.1,6.45,The Village,Dublin,Ireland
448,False,Pakistan,7/30/2015,Pakistan,175,5,20.0,8.75,Sri Lanka,146,7,20.0,7.3,R Premadasa Stadium,Colombo,Sri Lanka
449,False,Pakistan,8/1/2015,Sri Lanka,172,7,20.0,8.6,Pakistan,174,9,19.2,9.0,R Premadasa Stadium,Colombo,Sri Lanka
450,False,New Zealand,8/9/2015,New Zealand,198,5,20.0,9.9,Zimbabwe,118,8,20.0,5.9,Harare Sports Club,Harare,Zimbabwe
451,False,South Africa,8/14/2015,New Zealand,151,8,20.0,7.55,South Africa,152,4,17.5,8.523364486,Kingsmead,Durban,South Africa
452,False,New Zealand,8/16/2015,New Zealand,177,7,20.0,8.85,South Africa,145,8,20.0,7.25,SuperSport Park,Centurion,South Africa
453,False,England,8/31/2015,England,182,5,20.0,9.1,Australia,177,8,20.0,8.85,Sophia Gardens,Cardiff,Wales
454,False,Pakistan,9/27/2015,Pakistan,136,8,20.0,6.8,Zimbabwe,123,9,20.0,6.15,Harare Sports Club,Harare,Zimbabwe
455,False,Pakistan,9/29/2015,Pakistan,136,6,20.0,6.8,Zimbabwe,121,7,20.0,6.05,Harare Sports Club,Harare,Zimbabwe
456,False,South Africa,10/2/2015,India,199,5,20.0,9.95,South Africa,200,3,19.4,10.16949153,Himachal Pradesh Cricket Association Stadium,Dharamsala,India
457,False,South Africa,10/5/2015,India,92,10,17.2,4.6,South Africa,96,4,17.1,4.8,Barabati Stadium,Cuttack,India
458,False,Afghanistan,10/26/2015,Zimbabwe,153,5,20.0,7.65,Afghanistan,154,4,19.1,8.034782609,Queens Sports Club,Bulawayo,Zimbabwe
459,False,Afghanistan,10/28/2015,Zimbabwe,190,7,20.0,9.5,Afghanistan,191,5,19.5,9.630252101,Queens Sports Club,Bulawayo,Zimbabwe
460,False,Sri Lanka,11/9/2015,Sri Lanka,215,3,20.0,10.75,West Indies,185,10,19.5,9.327731092,Pallekele International Cricket Stadium,Kandy,Sri Lanka
461,False,West Indies,11/11/2015,West Indies,162,6,20.0,8.1,Sri Lanka,139,10,20.0,6.95,R Premadasa Stadium,Colombo,Sri Lanka
462,False,Bangladesh,11/13/2015,Zimbabwe,131,10,19.3,6.55,Bangladesh,136,6,17.4,6.8,Shere Bangla National Stadium,Dhaka,Bangladesh
463,False,Zimbabwe,11/15/2015,Bangladesh,135,9,20.0,6.75,Zimbabwe,136,7,19.5,6.857142857,Shere Bangla National Stadium,Dhaka,Bangladesh
464,False,Oman,11/21/2015,Hong Kong,106,9,20.0,5.3,Oman,107,4,18.3,5.783783784,Sheikh Zayed Stadium,Abu Dhabi,UAE
465,False,UAE,11/22/2015,Oman,133,8,20.0,6.65,UAE,134,3,18.2,7.309090909,Sheikh Zayed Stadium,Abu Dhabi,UAE
466,False,Oman,11/25/2015,Oman,131,6,20.0,6.55,Hong Kong,127,10,19.5,6.403361345,Sheikh Zayed Stadium,Abu Dhabi,UAE
467,False,Hong Kong,11/26/2015,Oman,149,4,20.0,7.45,Hong Kong,155,2,18.3,8.378378378,Sheikh Zayed Stadium,Abu Dhabi,UAE
468,False,England,11/26/2015,England,160,5,20.0,8.0,Pakistan,146,10,20.0,7.3,Dubai International Cricket Stadium,Dubai,UAE
469,False,England,11/27/2015,England,172,8,20.0,8.6,Pakistan,169,8,20.0,8.45,Dubai International Cricket Stadium,Dubai,UAE
470,False,Hong Kong,11/28/2015,Afghanistan,162,6,20.0,8.1,Hong Kong,166,6,19.4,8.440677966,Sheikh Zayed Stadium,Abu Dhabi,UAE
471,False,Afghanistan,11/29/2015,Afghanistan,159,8,20.0,7.95,Oman,132,10,18.1,7.266055046,Sheikh Zayed Stadium,Abu Dhabi,UAE
472,False,Afghanistan,11/30/2015,Afghanistan,160,4,20.0,8.0,Oman,148,8,20.0,7.4,Sheikh Zayed Stadium,Abu Dhabi,UAE
473,False,Tie,11/30/2015,England,154,8,20.0,7.7,Pakistan,154,7,20.0,7.7,Sharjah Cricket Stadium,Sharjah,UAE
474,False,New Zealand,1/7/2016,New Zealand,182,4,20.0,9.1,Sri Lanka,179,9,20.0,8.95,Bay Oval,Mount Maunganui,New Zealand
475,False,Afghanistan,1/8/2016,Afghanistan,187,7,20.0,9.35,Zimbabwe,182,7,20.0,9.1,Sharjah Cricket Stadium,Sharjah,UAE
476,False,New Zealand,1/10/2016,Sri Lanka,142,8,20.0,7.1,New Zealand,147,1,10.0,14.7,Eden Park,Auckland,New  Zealand
477,False,Afghanistan,1/10/2016,Afghanistan,215,6,20.0,10.75,Zimbabwe,134,10,18.1,7.376146789,Sharjah Cricket Stadium,Sharjah,UAE
478,False,Pakistan,1/15/2016,Pakistan,171,8,20.0,8.55,New Zealand,155,10,20.0,7.75,Eden Park,Auckland,New  Zealand
479,False,Bangladesh,1/15/2016,Zimbabwe,163,7,20.0,8.15,Bangladesh,166,6,18.4,8.892857143,Sheikh Abu Naser Stadium,Khulna,Bangladesh
480,False,New Zealand,1/17/2016,Pakistan,168,7,20.0,8.4,New Zealand,171,0,17.4,9.679245283,Seddon Park,Hamilton,New Zealand
481,False,Bangladesh,1/17/2016,Bangladesh,167,3,20.0,8.35,Zimbabwe,125,8,20.0,6.25,Sheikh Abu Naser Stadium,Khulna,Bangladesh
482,False,Zimbabwe,1/20/2016,Zimbabwe,187,6,20.0,9.35,Bangladesh,156,6,20.0,7.8,Sheikh Abu Naser Stadium,Khulna,Bangladesh
483,False,New Zealand,1/22/2016,New Zealand,196,5,20.0,9.8,Pakistan,101,10,16.1,6.24742268,Westpac Stadium,Wellington,New Zealand
484,False,Zimbabwe,1/22/2016,Zimbabwe,180,4,20.0,9.0,Bangladesh,162,10,19.0,8.526315789,Sheikh Abu Naser Stadium,Khulna,Bangladesh
485,False,India,1/26/2016,India,188,3,20.0,9.4,Australia,151,10,19.3,7.743589744,Adelaide Oval,Adelaide,Australia
486,False,India,1/29/2016,India,184,3,20.0,9.2,Australia,157,8,20.0,7.85,Melbourne Cricket Ground,Melbourne,Australia
487,False,Hong Kong,1/30/2016,Scotland,66,7,10.0,6.6,Hong Kong,72,1,6.2,11.36842105,Mission Road Ground,Mong Kok,Hong Kong
488,False,Scotland,1/31/2016,Scotland,161,9,20.0,8.05,Hong Kong,124,10,18.4,6.642857143,Mission Road Ground,Mong Kok,Hong Kong
489,False,India,1/31/2016,Australia,197,5,20.0,9.85,India,200,3,20.0,10.0,Sydney Cricket Ground,Sydney,Australia
490,False,Netherlands,2/3/2016,Netherlands,157,5,20.0,7.85,UAE,73,10,16.4,4.38,ICC Academy,Dubai,UAE
491,False,UAE,2/4/2016,UAE,148,8,20.0,7.4,Scotland,139,9,20.0,6.95,ICC Academy,Dubai,UAE
492,False,Scotland,2/5/2016,Scotland,140,5,20.0,7.0,Netherlands,103,10,18.2,5.618181818,ICC Academy,Dubai,UAE
493,False,Ireland,2/6/2016,Papua New Guinea,92,9,20.0,4.6,Ireland,97,5,12.1,7.97260274,Tony Ireland Stadium,Townsville,Australia
494,False,Ireland,2/7/2016,Ireland,96,5,11.0,8.727272727,Papua New Guinea,89,9,11.0,8.090909091,Tony Ireland Stadium,Townsville,Australia
495,False,Papua New Guinea,2/9/2016,Papua New Guinea,116,8,20.0,5.8,Ireland,105,10,19.1,5.47826087,Tony Ireland Stadium,Townsville,Australia
496,False,Sri Lanka,2/9/2016,India,101,10,18.5,5.05,Sri Lanka,105,5,18.0,5.25,Maharashtra Cricket Association Stadium,Pune,India
497,False,India,2/12/2016,India,196,6,20.0,9.8,Sri Lanka,127,9,20.0,6.35,JSCA International Stadium Complex,Ranchi,India
498,False,Ireland,2/14/2016,Ireland,134,8,20.0,6.7,UAE,100,10,19.2,5.172413793,Sheikh Zayed Stadium,Abu Dhabi,UAE
499,False,India,2/14/2016,Sri Lanka,82,10,18.0,4.1,India,84,1,13.5,4.2,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam,India
500,False,UAE,2/16/2016,UAE,133,7,20.0,6.65,Ireland,128,9,20.0,6.4,Sheikh Zayed Stadium,Abu Dhabi,UAE
501,False,UAE,2/19/2016,UAE,176,4,20.0,8.8,Afghanistan,160,10,19.5,8.067226891,Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh
502,False,Oman,2/19/2016,Oman,180,5,20.0,9.0,Hong Kong,175,7,20.0,8.75,Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh
503,False,South Africa,2/19/2016,England,134,8,20.0,6.7,South Africa,135,7,20.0,6.75,Newlands,Cape Town,South Africa
504,False,Afghanistan,2/20/2016,Oman,165,4,20.0,8.25,Afghanistan,168,7,19.3,8.615384615,Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh
505,False,UAE,2/21/2016,Hong Kong,146,7,20.0,7.3,UAE,147,4,18.3,7.945945946,Khan Shaheb Osman Ali Stadium,Fatullah,Bangladesh
506,False,South Africa,2/21/2016,England,171,10,19.4,8.55,South Africa,172,1,14.4,8.6,New Wanderers Stadium,Johannesburg,South Africa
507,False,Afghanistan,2/22/2016,Afghanistan,178,7,20.0,8.9,Hong Kong,112,10,17.1,6.524271845,Shere Bangla National Stadium,Dhaka,Bangladesh
508,False,UAE,2/22/2016,UAE,172,6,20.0,8.6,Oman,101,8,20.0,5.05,Shere Bangla National Stadium,Dhaka,Bangladesh
509,False,India,2/24/2016,India,166,6,20.0,8.3,Bangladesh,121,7,20.0,6.05,Shere Bangla National Stadium,Dhaka,Bangladesh
510,False,Sri Lanka,2/25/2016,Sri Lanka,129,8,20.0,6.45,UAE,115,9,20.0,5.75,Shere Bangla National Stadium,Dhaka,Bangladesh
511,False,Bangladesh,2/26/2016,Bangladesh,133,8,20.0,6.65,UAE,82,10,17.4,4.641509434,Shere Bangla National Stadium,Dhaka,Bangladesh
512,False,India,2/27/2016,Pakistan,83,10,17.3,4.15,India,85,5,15.3,4.25,Shere Bangla National Stadium,Dhaka,Bangladesh
513,False,Bangladesh,2/28/2016,Bangladesh,147,7,20.0,7.35,Sri Lanka,124,8,20.0,6.2,Shere Bangla National Stadium,Dhaka,Bangladesh
514,False,Pakistan,2/29/2016,UAE,129,6,20.0,6.45,Pakistan,131,3,18.4,7.017857143,Shere Bangla National Stadium,Dhaka,Bangladesh
515,False,India,3/1/2016,Sri Lanka,138,9,20.0,6.9,India,142,5,19.2,7.344827586,Shere Bangla National Stadium,Dhaka,Bangladesh
516,False,Bangladesh,3/2/2016,Pakistan,129,7,20.0,6.45,Bangladesh,131,5,19.1,6.834782609,Shere Bangla National Stadium,Dhaka,Bangladesh
517,False,India,3/3/2016,UAE,81,9,20.0,4.05,India,82,1,10.1,8.06557377,Shere Bangla National Stadium,Dhaka,Bangladesh
518,False,Pakistan,3/4/2016,Sri Lanka,150,4,20.0,7.5,Pakistan,151,4,19.2,7.810344828,Shere Bangla National Stadium,Dhaka,Bangladesh
519,False,South Africa,3/4/2016,Australia,157,9,20.0,7.85,South Africa,158,7,19.2,8.172413793,Kingsmead,Durban,South Africa
520,False,Australia,3/6/2016,South Africa,204,7,20.0,10.2,Australia,205,5,20.0,10.25,New Wanderers Stadium,Johannesburg,South Africa
521,False,India,3/6/2016,Bangladesh,120,5,15.0,8.0,India,122,2,13.5,8.819277108,Shere Bangla National Stadium,Dhaka,Bangladesh
522,True,Zimbabwe,3/8/2016,Zimbabwe,158,8,20.0,7.9,Hong Kong,144,6,20.0,7.2,Vidarbha Cricket Association Stadium,Nagpur,India
523,True,Afghanistan,3/8/2016,Afghanistan,170,5,20.0,8.5,Scotland,156,5,20.0,7.8,Vidarbha Cricket Association Stadium,Nagpur,India
524,True,Bangladesh,3/9/2016,Bangladesh,153,7,20.0,7.65,Netherlands,145,7,20.0,7.25,Himachal Pradesh Cricket Association Stadium,Dharamsala,India
525,True,Oman,3/9/2016,Ireland,154,5,20.0,7.7,Oman,157,8,19.4,7.983050847,Himachal Pradesh Cricket Association Stadium,Dharamsala,India
526,True,Australia,3/9/2016,South Africa,178,4,20.0,8.9,Australia,181,4,19.2,9.362068966,Newlands,Cape Town,South Africa
527,True,Zimbabwe,3/10/2016,Zimbabwe,147,7,20.0,7.35,Scotland,136,10,19.4,6.915254237,Vidarbha Cricket Association Stadium,Nagpur,India
528,True,Afghanistan,3/10/2016,Hong Kong,116,6,20.0,5.8,Afghanistan,119,4,18.0,6.611111111,Vidarbha Cricket Association Stadium,Nagpur,India
529,True,No Result,3/11/2016,Oman,0,0,0.0,,Netherlands,0,0,0.0,,Himachal Pradesh Cricket Association Stadium,Dharamsala,India
530,True,No Result,3/11/2016,Bangladesh,94,2,8.0,11.75,Ireland,0,0,0.0,,Himachal Pradesh Cricket Association Stadium,Dharamsala,India
531,True,Afghanistan,3/12/2016,Afghanistan,186,6,20.0,9.3,Zimbabwe,127,10,19.4,6.457627119,Vidarbha Cricket Association Stadium,Nagpur,India
532,True,Scotland,3/12/2016,Hong Kong,127,7,20.0,6.35,Scotland,78,2,8.0,9.75,Vidarbha Cricket Association Stadium,Nagpur,India
533,True,Netherlands,3/13/2016,Netherlands,59,5,6.0,9.833333333,Ireland,47,7,6.0,7.833333333,Himachal Pradesh Cricket Association Stadium,Dharamsala,India
534,True,Bangladesh,3/13/2016,Bangladesh,180,2,20.0,9.0,Oman,65,9,12.0,5.416666667,Himachal Pradesh Cricket Association Stadium,Dharamsala,India
535,True,New Zealand,3/15/2016,New Zealand,126,7,20.0,6.3,India,79,10,18.1,4.348623853,Vidarbha Cricket Association Stadium,Nagpur,India
536,True,Pakistan,3/16/2016,Pakistan,201,5,20.0,10.05,Bangladesh,146,6,20.0,7.3,Eden Gardens,Kolkata,India
537,True,West Indies,3/16/2016,England,182,6,20.0,9.1,West Indies,183,4,18.1,10.0733945,Wankhede Stadium,Mumbai,India
538,True,Sri Lanka,3/17/2016,Afghanistan,153,7,20.0,7.65,Sri Lanka,155,4,18.5,8.230088496,Eden Gardens,Kolkata,India
539,True,New Zealand,3/18/2016,New Zealand,142,8,20.0,7.1,Australia,134,9,20.0,6.7,Himachal Pradesh Cricket Association Stadium,Dharamsala,India
540,True,England,3/18/2016,South Africa,229,4,20.0,11.45,England,230,8,19.4,11.69491525,Wankhede Stadium,Mumbai,India
541,True,India,3/19/2016,Pakistan,118,5,18.0,6.555555556,India,119,4,15.5,7.515789474,Eden Gardens,Kolkata,India
542,True,South Africa,3/20/2016,South Africa,209,5,20.0,10.45,Afghanistan,172,10,20.0,8.6,Wankhede Stadium,Mumbai,India
543,True,West Indies,3/20/2016,Sri Lanka,122,9,20.0,6.1,West Indies,127,3,18.2,6.927272727,M Chinnaswamy Stadium,Bengaluru,South Africa
544,True,Australia,3/21/2016,Bangladesh,156,5,20.0,7.8,Australia,157,7,18.3,8.486486486,M Chinnaswamy Stadium,Bengaluru,South Africa
545,True,New Zealand,3/22/2016,New Zealand,180,5,20.0,9.0,Pakistan,158,5,20.0,7.9,Punjab Cricket Association IS Bindra Stadium,Chandigarh,India
546,True,England,3/23/2016,England,142,7,20.0,7.1,Afghanistan,127,9,20.0,6.35,Feroz Shah Kotla,Delhi,India
547,True,India,3/23/2016,India,146,7,20.0,7.3,Bangladesh,145,9,20.0,7.25,M Chinnaswamy Stadium,Bengaluru,South Africa
548,True,Australia,3/25/2016,Australia,193,4,20.0,9.65,Pakistan,172,8,20.0,8.6,Punjab Cricket Association IS Bindra Stadium,Chandigarh,India
549,True,West Indies,3/25/2016,South Africa,122,8,20.0,6.1,West Indies,123,7,19.4,6.254237288,Vidarbha Cricket Association Stadium,Nagpur,India
550,True,New Zealand,3/26/2016,New Zealand,145,8,20.0,7.25,Bangladesh,70,10,15.4,4.468085106,Eden Gardens,Kolkata,India
551,True,England,3/26/2016,England,171,4,20.0,8.55,Sri Lanka,161,8,20.0,8.05,Feroz Shah Kotla,Delhi,India
552,True,Afghanistan,3/27/2016,Afghanistan,123,7,20.0,6.15,West Indies,117,8,20.0,5.85,Vidarbha Cricket Association Stadium,Nagpur,India
553,True,India,3/27/2016,Australia,160,6,20.0,8.0,India,161,4,19.1,8.4,Punjab Cricket Association IS Bindra Stadium,Chandigarh,India
554,True,South Africa,3/28/2016,Sri Lanka,120,10,19.3,6.0,South Africa,122,2,17.4,6.1,Feroz Shah Kotla,Delhi,India
555,True,England,3/30/2016,New Zealand,153,8,20.0,7.65,England,159,3,17.1,9.262135922,Feroz Shah Kotla,Delhi,India
556,True,West Indies,3/31/2016,India,192,2,20.0,9.6,West Indies,196,3,19.4,9.966101695,Wankhede Stadium,Mumbai,India
557,True,West Indies,4/3/2016,England,155,9,20.0,7.75,West Indies,161,6,19.4,8.186440678,Eden Gardens,Kolkata,India
558,False,Zimbabwe,6/18/2016,Zimbabwe,170,6,20.0,8.5,India,168,6,20.0,8.4,Harare Sports Club,Harare,Zimbabwe
559,False,India,6/20/2016,Zimbabwe,99,9,20.0,4.95,India,103,0,13.1,7.82278481,Harare Sports Club,Harare,Zimbabwe
560,False,India,6/22/2016,India,138,6,20.0,6.9,Zimbabwe,135,6,20.0,6.75,Harare Sports Club,Harare,Zimbabwe
561,False,England,7/5/2016,Sri Lanka,140,10,20.0,7.0,England,144,2,17.3,7.2,The Rose Bowl,Southampton,England
562,False,West Indies,8/27/2016,West Indies,245,6,20.0,12.25,India,244,4,20.0,12.2,Central Broward Regional Park Stadium Turf Ground,Lauderhill,USA
563,False,No Result,8/28/2016,West Indies,143,10,19.4,7.15,India,15,0,2.0,0.75,Central Broward Regional Park Stadium Turf Ground,Lauderhill,USA
564,False,Hong Kong,9/5/2016,Hong Kong,169,5,20.0,8.45,Ireland,129,10,19.3,6.615384615,Bready Cricket Club,Bready,Northern Ireland
565,False,Australia,9/6/2016,Australia,263,3,20.0,13.15,Sri Lanka,178,9,20.0,8.9,Pallekele International Cricket Stadium,Kandy,Sri Lanka
566,False,Pakistan,9/7/2016,England,135,7,20.0,6.75,Pakistan,139,1,14.5,9.370786517,Old Trafford,Manchester,England
567,False,Australia,9/9/2016,Sri Lanka,128,9,20.0,6.4,Australia,130,6,17.5,7.289719626,R Premadasa Stadium,Colombo,Sri Lanka
568,False,Pakistan,9/23/2016,West Indies,115,10,19.5,5.75,Pakistan,116,1,14.2,5.8,Dubai International Cricket Stadium,Dubai,UAE
569,False,Pakistan,9/24/2016,Pakistan,160,4,20.0,8.0,West Indies,144,9,20.0,7.2,Dubai International Cricket Stadium,Dubai,UAE
570,False,Pakistan,9/27/2016,West Indies,103,5,20.0,5.15,Pakistan,108,2,15.1,7.120879121,Sheikh Zayed Stadium,Abu Dhabi,UAE
571,False,Afghanistan,12/14/2016,Afghanistan,161,6,20.0,8.05,UAE,150,7,20.0,7.5,ICC Academy,Dubai,UAE
572,False,Afghanistan,12/16/2016,UAE,179,4,20.0,8.95,Afghanistan,183,5,19.4,9.305084746,Dubai International Cricket Stadium,Dubai,UAE
573,False,Afghanistan,12/18/2016,Afghanistan,189,5,20.0,9.45,UAE,145,8,20.0,7.25,ICC Academy,Dubai,UAE
574,False,New Zealand,1/3/2017,Bangladesh,141,8,20.0,7.05,New Zealand,143,4,18.0,7.944444444,McLean Park,Napier,New Zealand
575,False,New Zealand,1/6/2017,New Zealand,195,7,20.0,9.75,Bangladesh,148,10,18.1,8.146788991,Bay Oval,Mount Maunganui,New Zealand
576,False,New Zealand,1/8/2017,New Zealand,194,4,20.0,9.7,Bangladesh,167,6,20.0,8.35,Bay Oval,Mount Maunganui,New Zealand
577,False,Scotland,1/14/2017,Scotland,189,3,20.0,9.45,Hong Kong,165,6,20.0,8.25,Sheikh Zayed Stadium,Abu Dhabi,UAE
578,False,Afghanistan,1/14/2017,Ireland,125,6,20.0,6.25,Afghanistan,126,5,18.4,6.75,Sheikh Zayed Stadium,Abu Dhabi,UAE
579,False,Netherlands,1/15/2017,Oman,146,7,20.0,7.3,Netherlands,148,5,19.2,7.655172414,Sheikh Zayed Stadium,Abu Dhabi,UAE
580,False,Oman,1/16/2017,Hong Kong,87,10,18.3,4.35,Oman,89,3,11.0,4.45,Sheikh Zayed Stadium,Abu Dhabi,UAE
581,False,Afghanistan,1/16/2017,UAE,146,7,20.0,7.3,Afghanistan,147,5,18.5,7.805309735,Sheikh Zayed Stadium,Abu Dhabi,UAE
582,False,Scotland,1/17/2017,Scotland,148,7,20.0,7.4,Netherlands,141,10,19.2,7.293103448,Sheikh Zayed Stadium,Abu Dhabi,UAE
583,False,Ireland,1/18/2017,Ireland,160,6,20.0,8.0,UAE,136,7,20.0,6.8,Dubai International Cricket Stadium,Dubai,UAE
584,False,Hong Kong,1/18/2017,Hong Kong,183,4,20.0,9.15,Netherlands,92,10,15.3,5.935483871,Dubai International Cricket Stadium,Dubai,UAE
585,False,Scotland,1/19/2017,Oman,133,10,20.0,6.65,Scotland,134,3,19.0,6.7,Dubai International Cricket Stadium,Dubai,UAE
586,False,Afghanistan,1/20/2017,Oman,149,8,20.0,7.45,Afghanistan,150,2,18.3,8.108108108,Dubai International Cricket Stadium,Dubai,UAE
587,False,Ireland,1/20/2017,Ireland,211,6,20.0,10.55,Scotland,113,10,15.1,7.450549451,Dubai International Cricket Stadium,Dubai,UAE
588,False,Afghanistan,1/20/2017,Ireland,71,10,13.2,3.55,Afghanistan,75,0,7.5,3.75,Dubai International Cricket Stadium,Dubai,UAE
589,False,South Africa,1/20/2017,South Africa,126,5,10.0,12.6,Sri Lanka,107,6,10.0,10.7,SuperSport Park,Centurion,South Africa
590,False,Sri Lanka,1/22/2017,South Africa,113,10,19.3,5.65,Sri Lanka,119,7,19.4,5.95,New Wanderers Stadium,Johannesburg,South Africa
591,False,Sri Lanka,1/25/2017,South Africa,169,5,20.0,8.45,Sri Lanka,170,5,19.5,8.571428571,Newlands,Cape Town,South Africa
592,False,England,1/26/2017,India,147,7,20.0,7.35,England,148,3,18.1,8.146788991,Green Park,Kanpur,India
593,False,India,1/29/2017,India,144,8,20.0,7.2,England,139,6,20.0,6.95,Vidarbha Cricket Association Stadium,Nagpur,India
594,False,India,2/1/2017,India,202,6,20.0,10.1,England,127,10,16.3,7.696969697,M Chinnaswamy Stadium,Bengaluru,South Africa
595,False,South Africa,2/17/2017,South Africa,185,6,20.0,9.25,New Zealand,107,10,14.5,7.213483146,Eden Park,Auckland,New  Zealand
596,False,Sri Lanka,2/17/2017,Australia,168,6,20.0,8.4,Sri Lanka,172,5,20.0,8.6,Melbourne Cricket Ground,Melbourne,Australia
597,False,Sri Lanka,2/19/2017,Australia,173,10,20.0,8.65,Sri Lanka,176,8,20.0,8.8,Simonds Stadium,Geelong,Australia
598,False,Australia,2/22/2017,Australia,187,6,20.0,9.35,Sri Lanka,146,10,18.0,8.111111111,Adelaide Oval,Adelaide,Australia
599,False,Afghanistan,3/8/2017,Ireland,165,5,20.0,8.25,Afghanistan,171,4,18.0,9.5,Greater Noida Sports Complex Ground,Greater Noida,India
600,False,Afghanistan,3/10/2017,Afghanistan,184,8,20.0,9.2,Ireland,93,9,11.0,8.454545455,Greater Noida Sports Complex Ground,Greater Noida,India
601,False,Afghanistan,3/12/2017,Afghanistan,233,8,20.0,11.65,Ireland,205,10,19.2,10.60344828,Greater Noida Sports Complex Ground,Greater Noida,India
602,False,Pakistan,3/26/2017,West Indies,111,8,20.0,5.55,Pakistan,115,4,17.1,6.699029126,Kensington Oval,Bridgetown,West Indies
603,False,Pakistan,3/30/2017,Pakistan,132,10,20.0,6.6,West Indies,129,8,20.0,6.45,Queen's Park Oval,Port of Spain,West Indies
604,False,West Indies,4/1/2017,Pakistan,137,8,20.0,6.85,West Indies,138,3,14.5,9.303370787,Queen's Park Oval,Port of Spain,West Indies
605,False,Pakistan,4/2/2017,West Indies,124,8,20.0,6.2,Pakistan,127,3,19.0,6.684210526,Queen's Park Oval,Port of Spain,West Indies
606,False,Sri Lanka,4/4/2017,Bangladesh,155,6,20.0,7.75,Sri Lanka,158,4,18.5,8.389380531,R Premadasa Stadium,Colombo,Sri Lanka
607,False,Bangladesh,4/6/2017,Bangladesh,176,9,20.0,8.8,Sri Lanka,131,10,18.0,7.277777778,R Premadasa Stadium,Colombo,Sri Lanka
608,False,UAE,4/12/2017,Papua New Guinea,102,10,18.2,5.1,UAE,108,5,15.1,5.4,Sheikh Zayed Stadium,Abu Dhabi,UAE
609,False,UAE,4/14/2017,UAE,180,3,20.0,9.0,Papua New Guinea,150,10,20.0,7.5,Sheikh Zayed Stadium,Abu Dhabi,UAE
610,False,UAE,4/14/2017,Papua New Guinea,128,5,20.0,6.4,UAE,129,5,19.1,6.730434783,Sheikh Zayed Stadium,Abu Dhabi,UAE
611,False,West Indies,6/2/2017,Afghanistan,110,10,20.0,5.5,West Indies,114,4,16.3,5.7,Warner Park,Basseterre,West Indies
612,False,West Indies,6/3/2017,West Indies,112,3,15.0,7.466666667,Afghanistan,93,10,13.3,6.888888889,Warner Park,Basseterre,West Indies
613,False,West Indies,6/5/2017,Afghanistan,146,6,20.0,7.3,West Indies,147,3,19.2,7.603448276,Warner Park,Basseterre,West Indies
614,False,England,6/21/2017,South Africa,142,3,20.0,7.1,England,143,1,14.3,9.862068966,The Rose Bowl,Southampton,England
615,False,South Africa,6/23/2017,South Africa,174,8,20.0,8.7,England,171,6,20.0,8.55,County Ground,Taunton,England
616,False,England,6/25/2017,England,181,8,20.0,9.05,South Africa,162,7,20.0,8.1,Sophia Gardens,Cardiff,Wales
617,False,West Indies,7/9/2017,India,190,6,20.0,9.5,West Indies,194,1,18.3,10.48648649,Sabina Park,Kingston,West Indies
618,False,India,9/6/2017,Sri Lanka,170,7,20.0,8.5,India,174,3,19.2,9.0,R Premadasa Stadium,Colombo,Sri Lanka
622,False,West Indies,9/16/2017,West Indies,176,9,20.0,8.8,England,155,10,19.3,7.948717949,Riverside Ground,Chester-le-Street,England
623,False,India,10/7/2017,Australia,118,8,18.4,6.321428571,India,49,1,5.3,8.909090909,JSCA International Stadium Complex,Ranchi,India
624,False,Australia,10/10/2017,India,118,10,20.0,5.9,Australia,122,2,15.3,6.1,Barsapara Cricket Stadium,Guwahati,India
625,False,Pakistan,10/26/2017,Sri Lanka,102,10,18.3,5.1,Pakistan,103,3,17.2,5.15,Sheikh Zayed Stadium,Abu Dhabi,UAE
626,False,South Africa,10/26/2017,South Africa,195,4,20.0,9.75,Bangladesh,175,9,20.0,8.75,Mangaung Oval,Bloemfontein,South Africa
627,False,Pakistan,10/27/2017,Sri Lanka,124,9,20.0,6.2,Pakistan,125,8,19.5,6.302521008,Sheikh Zayed Stadium,Abu Dhabi,UAE
628,False,South Africa,10/29/2017,South Africa,224,4,20.0,11.2,Bangladesh,141,10,18.3,7.621621622,Senwes Park,Potchefstroom,South Africa
629,False,Pakistan,10/29/2017,Pakistan,180,3,20.0,9.0,Sri Lanka,144,9,20.0,7.2,Gaddafi Stadium,Lahore,Pakistan
